地点名称,类型,经度,纬度,情绪权重,地址,POI编码
焦裕禄精神教学基地,学校,117.991743,36.438656,0.5,317省道与洪崖路交叉口东300米,B0FFKZEBUM
华润实验小学,学校,118.064116,36.801975,0.5,东一路小学42号,B0FFFW9E07
潘庄高级中学,学校,118.060365,36.823397,0.5,迎春街与联通路交叉口南360米,B0HRBAWBRZ
桓台一中附属学校,学校,118.069779,36.959617,0.5,中心大街,B021504DOK
南定小学,学校,118.052121,36.741479,0.5,南定镇,B021501BB3
张店区上海路小学,学校,117.974778,36.819207,0.5,香港路177号,B0I1BCXTPE
淄川区实验小学南校区,学校,117.964219,36.625985,0.5,文峰路42号附近,B0FFGJY7XZ
德扬学校,学校,117.981468,36.911981,0.5,张田路1008号,B0I3OU5SH1
淄博宝鑫新经典学校,学校,118.100999,36.818062,0.5,四宝山街道办事处尚庄村,B021504ACE
高青县实验中学,学校,117.819735,37.165726,0.5,青城路88号,B021503QFM
太公小学,学校,118.335491,36.816887,0.5,天齐路67号,B02150QZ02
人民东路小学,学校,118.064812,36.810418,0.5,人民东路4号,B0215024O8
淄博市特殊教育中心,学校,118.099177,36.820103,0.5,张店区高新区四宝山办事处宝鑫路10号,B02150QOW6
淄博博苑实验幼儿园,学校,117.999673,36.819831,0.5,林泽花园东区南门,B0FFGFPY4N
淄博市张店区南定中学,学校,118.046504,36.742334,0.5,崔军南定中学,B021501C34
山东省桓台世纪中学,学校,118.108796,36.959324,0.5,索镇街道索镇大街1476号,B021501C15
雁阳小学,学校,118.001471,36.653546,0.5,雁阳路,B0G1RU0L33
北关小学,学校,117.968487,36.650962,0.5,华洋街,B021503YN4
临淄区稷下小学,学校,118.315531,36.810223,0.5,闻韶街道稷下路6号,B0FFIARD0H
山东职业技工学校(章丘校区),学校,117.703625,36.676497,0.5,职科路001号,B0IUS77W6T
淄博高新区实验小学,学校,118.060463,36.831419,0.5,华瑞园一号楼一单元202号,B021501BD2
山东齐鲁武校,学校,118.160609,36.698077,0.5,金山镇,B0FFFVMRPP
周村区市南路小学,学校,117.854538,36.788305,0.5,市南路1号,B0FFFX9X7A
高青县第二中学,学校,117.826388,37.168863,0.5,文化路17号,B021501C57
高青县中心路小学,学校,117.835773,37.157631,0.5,中心路60号,B021501B94
雪宫小学,学校,118.303573,36.818514,0.5,太公路21号,B021504CTW
淄博高新区第三小学,学校,118.032424,36.868789,0.5,南石路与裕民路交叉口北360米,B0FFI73VQV
淄川区商城路小学,学校,117.956978,36.649593,0.5,华齐街4号,B021501BAE
临淄实验小学,学校,118.301520,36.810601,0.5,雪宫路321号,B021501BA9
桓台实验学校,学校,118.082203,36.967572,0.5,建设街4756号,B021503YLG
桓台县鱼龙中学,学校,118.101559,37.065400,0.5,荆夏路1700号,B021503RDJ
高青双语学校,学校,117.860078,37.158281,0.5,乐安路与238省道交叉口南100米(易视康视力保护中心西),B02150QNOZ
朱台中学,学校,118.248111,36.940042,0.5,朱台镇朱台路39号,B0FFFZYBME
潘南小学,学校,118.059069,36.815301,0.5,潘南西路9号,B0215024Z8
淄博高新区黉门文化艺术学校,学校,118.052261,36.856862,0.5,张店区高新区泰美路211号,B0KA4UDYNQ
北苑小学,学校,118.018256,36.844471,0.5,盛湖东路与西八路交叉路口往东北约260米,B0GKBBBWEE
张店区文苑学校,学校,118.057396,36.770116,0.5,南定镇朝阳路9号,B0215030IA
淄博市张店区第四中学,学校,118.088207,36.753633,0.5,沣水镇城东路1号淄博市张店区沣水中学附近,B0FFGO6RQD
沂源县历山中学,学校,118.161848,36.191321,0.5,历山路17号,B0FFFH0B96
淄博稷下实验学校,学校,117.965198,36.816474,0.5,人民西路与济南路交叉口西南220米,B0KR6MXNSO
公园新村小学,学校,118.045659,36.805159,0.5,商场西街16号,B0215048D5
沂源四中,学校,118.249974,36.217228,0.5,朝阳路附近,B0FFFZY1VY
高青县第四中学,学校,117.812928,37.172148,0.5,黄河路127号,B021504EEF
淄博市美达菲双语高级中学,学校,117.966026,36.815861,0.5,人民西路与济南路交叉口西南100米,B0H3YS6PUQ
淄博和平学校,学校,117.824973,36.791633,0.5,和平路388号,B021504K66
中国石化齐鲁石化公司培训中心,学校,118.283599,36.815594,0.5,桓公路11号,B021504DJQ
中共淄川区龙泉镇台头村委员会,学校,117.969534,36.573948,0.5,龙泉路与天台山路交叉口东北360米,B02150QKTB
淄博高新区第二小学,学校,118.071541,36.876427,0.5,化北路南100米,B0FFGIFMBQ
淄川区实验小学,学校,117.982993,36.639028,0.5,文汇街1号,B02150Q78H
周村区中小学生社会实践基地,学校,117.859928,36.840135,0.5,丝绸路2691号马路对过,B02150Q8EP
张店区兴学街小学,学校,118.054491,36.794399,0.5,西二路18号,B021501BA0
中铝党校,学校,118.047129,36.756803,0.5,花园路10号,B0FFHLFH1W
傅家实验小学,学校,118.000548,36.768742,0.5,南重庆路167号(淄博客运中心南2公里),B021501B9E
淄川经济开发区西山联校,学校,117.926897,36.649915,0.5,淄川经济开发区,B0FFHMC4EF
淄博修文外国语学校,学校,117.975357,36.837448,0.5,中润大道与香港路交叉口南100米,B0FFKDQTKJ
临淄区金山中学,学校,118.229933,36.735894,0.5,建设南路11号,B02150QL7A
遄台小学,学校,118.321962,36.814051,0.5,闻韶街道遄台路30号,B02150R29G
淄博工业学校梧台校区,学校,118.302241,36.885074,0.5,凤凰镇梧台温家路20号,B02150QK55
山东新华制药股份有限公司职工培训中心技工学校,学校,118.063076,36.794698,0.5,车站街道东一路14号,B0FFG2SHTS
张店区特殊教育中心学校,学校,118.052517,36.797538,0.5,西二路45号,B0215041HH
杨寨中心小学,学校,117.985360,36.716750,0.5,杨萌路南50米,B0FFGMLX5P
临淄杜郎口小学,学校,118.284229,36.806730,0.5,辛三路31号,B0FFGY956E
淄博市张店区科苑小学,学校,118.044838,36.819571,0.5,华光路南九巷4号,B0215030GV
淄博市技师学院,学校,117.877849,36.534927,0.5,白塔镇颜北路158号赵庄材料市场对过,B021503YNQ
齐都花园小学,学校,118.289328,36.830072,0.5,杨坡路,B02150Q9PT
淄博梓童山武术学校,学校,118.031502,36.667658,0.5,双杨镇(鬼谷仙境旁边),B021501B1F
淄博黉门中学,学校,118.035602,36.806253,0.5,共青团路西121号甲1号,B0FFHFUA76
遄台中学,学校,118.316847,36.818062,0.5,稷下路82号,B02150QETX
博山区中心路小学,学校,117.858761,36.493345,0.5,中心路65号,B021501BC5
桓台县周家中学,学校,117.982346,36.905885,0.5,[],B02150RS2C
张店城中小学,学校,118.052446,36.801953,0.5,城中小区西环内66号,B02150266T
晏婴小学,学校,118.281930,36.819943,0.5,桑坡路,B02150QJGV
淄博师专附属小学,学校,117.981028,36.644906,0.5,松龄东路南四街2号,B021504G98
福山小学,学校,118.241749,36.733112,0.5,南王镇南仇东居委会,B02150QIR6
周村区王村中学,学校,117.738521,36.684451,0.5,王村镇王村中学(王耐社区附近),B021504KV9
淄博师专,学校,117.908464,36.662170,0.5,凤凰原着小区路北,B0FFJEXALB
金茵小学,学校,118.318705,36.827676,0.5,稷下路,B021504EMN
张店区科技苑中学,学校,118.050969,36.828994,0.5,联通路与橙香路交叉口东北160米,B0HGV5PGQ7
淄博高新区第八小学,学校,118.145348,36.881161,0.5,淄博市高新区傅山村,B0FFILBX08
张店区杏园小学,学校,118.076935,36.787266,0.5,洪沟东街30号,B02150R3YP
淄博高新区第四小学,学校,118.035838,36.887786,0.5,齐祥路与北西五路交叉口西北260米,B02150Q6G5
桓台县陈庄中学,学校,117.916557,37.008159,0.5,陈庄中心街,B0215025X4
淄博市周村区第一中学(东校区),学校,117.838026,36.791925,0.5,油坊街蔡家场南一巷27号,B0FFGBCIU8
罗村中学,学校,118.073269,36.679739,0.5,罗村镇罗千路27号,B02150QKIP
淄博市张店区第十二中学,学校,118.114856,36.790903,0.5,杏园街道办事处湖光路3号,B0FFFR85TT
淄博高新区第五小学,学校,118.103090,36.837509,0.5,四宝山街道办事处春风路,B02150QHJX
齐悦实验小学,学校,117.980875,36.813464,0.5,心环西路,B0FFG7Q53Z
张店区柳泉小学,学校,118.049946,36.827302,0.5,联通路37号,B0FFJ0EDUF
淄博外语学校,学校,118.035326,36.787985,0.5,车站街道王舍路115号欧麦蛋糕,B0FFHK2M9U
傅家镇黄家小学,学校,118.006121,36.736265,0.5,傅家镇黄家村,B021501BB2
湖田小学,学校,118.113527,36.789104,0.5,湖光路2号,B021502TAT
世纪花园小学,学校,118.021490,36.830225,0.5,世纪花园与西南环路交叉口东150米,B0215030HS
淄博市中心医院,医院,118.053088,36.807533,-0.3,共青团西路54号,B021501FD0
淄博市中心医院(西院区),医院,117.975134,36.810239,-0.3,上海路10号,B0FFGXU68Q
桓台县人民医院,医院,118.093414,36.945519,-0.3,桓台大道2198号东岳路南首(怡苑花园西),B021501F74
淄川区医院,医院,117.966577,36.655537,-0.3,淄城路591号,B0FFFWLECO
淄博市第一医院总院,医院,117.864520,36.490278,-0.3,峨嵋山东路4号,B021501FEC
淄博市中医医院东院区,医院,117.934679,36.802417,-0.3,新建东路1166号,B0FFJWLWSI
淄博一四八医院,医院,117.852864,36.793363,-0.3,站北路20号,B0FFK5D702
张店区人民医院(主院区),医院,118.057745,36.795784,-0.3,金晶大道63号(淄博火车站北行300米路西),B021501FC5
张店区中医院,医院,118.049972,36.800925,-0.3,新村西路28号,B021501FCE
淄博市市立医院,医院,118.306982,36.813461,-0.3,桓公路137-139号,B0FFHP1HCF
桓台县中医院,医院,118.098618,36.968299,-0.3,建设大街4号,B0215046BS
周村区人民医院,医院,117.869467,36.820009,-0.3,恒星路999号,B0FFJGDJ3V
淄博市中西医结合医院,医院,118.058868,36.793560,-0.3,金晶大道8号(市第八人民医院),B0FFG7IL3D
北大医疗鲁中医院,医院,118.311811,36.817841,-0.3,太公路65号,B0FFG7BL67
淄博市第四人民医院,医院,118.043297,36.766280,-0.3,山泉路210号,B0215029DT
淄博昌国医院,医院,118.027805,36.784536,-0.3,昌国西路59号,B02150QOCY
世博高新医院,医院,118.105384,36.829265,-0.3,中润大道,B0FFGCSC7E
沂源县人民医院新院区,医院,118.202406,36.210612,-0.3,人民路与东埠路交叉口东北340米,B0FFKJEEZ6
淄川区中医院,医院,117.975153,36.648965,-0.3,松龄东路37号,B021501FE6
淄博市博山区人民医院,医院,117.861781,36.512727,-0.3,白虎山路32号甲,B021501FE4
北大医疗淄博医院,医院,118.041309,36.755311,-0.3,南定镇西山五街2号,B0FFGXN265
淄博市第五人民医院,医院,117.982620,36.632505,-0.3,淄矿路102号,B021503YMR
淄博市中医医院老院区,医院,117.850347,36.801442,-0.3,新建中路75号,B0215043S4
淄博市妇幼保健院东院区,医院,118.060376,36.790092,-0.3,杏园东路11号,B021501F8C
淄博市职业病防治院,医院,118.011185,36.835737,-0.3,南京路121号,B021503SWG
沂源县中医医院,医院,118.161907,36.195530,-0.3,历山路与塔山路交叉口西150米路北,B021504GIE
淄博口腔医院,医院,118.026673,36.803344,-0.3,新村西路188号,B02150QXSX
山东健康集团淄博医院,医院,117.995154,36.632548,-0.3,淄矿路133号72号,B0IAY5UJPT
淄博市第六人民医院,医院,118.011131,36.835829,-0.3,南京路与中润大道交叉口西南220米,B0FFG3107Z
淄博中医骨伤医院,医院,117.826714,36.489782,-0.3,凤凰山西路西首北侧,B0FFI7KE96
沂源县人民医院,医院,118.170794,36.188628,-0.3,县城胜利路21号,B021501FEE
淄博市第七人民医院,医院,118.053946,36.826246,-0.3,柳泉路77号甲10号世纪新世界广场,B0G23ZD3OH
高青县人民医院住院部,医院,117.836759,37.169291,-0.3,青城路11号,B0FFFT8KAO
淄博化建医院,医院,118.233028,36.735297,-0.3,建设南路3号,B02150QM98
淄博丽人医院,医院,118.047595,36.820418,-0.3,华光路81号,B02150QERD
淄建集团医院,医院,118.064021,36.801248,-0.3,东一路36号,B02150443M
淄博高新四季青医院,医院,118.033077,36.835900,-0.3,中润大道20号,B0J6673ASF
高青县中医院,医院,117.830285,37.184154,-0.3,北环路39号,B021503YJN
淄博市中心医院北病房楼,医院,118.052760,36.808721,-0.3,共青团西路54号淄博市中心医院内,B0215048EL
田庄中心卫生院,医院,117.998333,36.979573,-0.3,田庄镇文明路,B021503RG9
淄博高新区机关医院,医院,118.052056,36.840245,-0.3,高创西路,B0H2ZZAJK9
淄博市中心医院住院一部,医院,117.975604,36.809321,-0.3,新村西路,B0HA5AMV3I
淄博圣洁医院,医院,118.091234,36.965849,-0.3,建设街3888号,B021503YL2
博山区中医院-门诊住院,医院,117.826869,36.489714,-0.3,凤凰山西路淄博市博山区中医院,B0G2CK54HM
淄博张店中鲁中医院,医院,118.063233,36.811867,-0.3,金晶大道148号院内办公楼南楼一层102号,B0GR3SJTAI
临淄区人民医院门诊部,医院,118.306519,36.813212,-0.3,桓公路137-139号临淄区人民医院,B02150SI79
张店区人民医院(南院区),医院,118.059541,36.791552,-0.3,洪沟路2号,B0GU2KCQLQ
临淄区中医医院,医院,118.303243,36.801864,-0.3,南二路74号,B021501FD4
淄博广电医院,医院,118.048349,36.815733,-0.3,柳泉路西二巷10号,B021502SK6
淄博高新华庚医院,医院,118.062790,36.843618,-0.3,万杰路123-1号,B0FFMDAB9M
淄博市中心医院西院区住院五部,医院,117.973382,36.811715,-0.3,上海路10号,B0JDAHZAQJ
淄博高新区石桥中心医院,医院,118.045962,36.886421,-0.3,石桥镇北石村,B0FFGYOF1Y
淄博市市级机关医院,医院,118.055697,36.811686,-0.3,西二路265号,B0FFG7DMM5
张店区南定镇卫生院,医院,118.045960,36.745646,-0.3,张南路,B02150QZ4O
罗村卫生院,医院,118.068822,36.685599,-0.3,罗村镇,B0215048ML
淄川济民医院,医院,117.977587,36.652910,-0.3,淄城东路与花苑街交叉口东北100米,B0FFGLS85U
淄博市市级机关医院世纪花园门诊部,医院,118.020040,36.834122,-0.3,马尚镇西七路世纪花园中心公园6号市级机关医院世纪花园,B021504COP
淄博瑞生医院,医院,118.040809,36.828672,-0.3,联通路76号,B0FFLHREWN
淄博矿业集团公司双山医院,医院,117.853711,36.498469,-0.3,双山路14-9号附近,B021503WYJ
淄博延强医院,医院,117.944326,36.665657,-0.3,建设路688号,B021504H6H
华仁中医医院,医院,118.042517,36.807609,-0.3,新世界商业街南段103号,B0FFKSQCCN
淄博市张店区傅家镇卫生院,医院,118.000376,36.761537,-0.3,华福大道傅家镇政府斜对面,B021503TCP
杨寨卫生院,医院,117.992947,36.710863,-0.3,双杨镇杨寨中学往南,B021501E96
淄博震中中医院,医院,118.032777,36.755912,-0.3,山泉路133号,B021502MFH
北大医疗鲁中医院(胜利分院),医院,118.263910,36.767573,-0.3,炼厂中路10号,B021501FD8
淄博四季青医院,医院,118.041428,36.828633,-0.3,联通路74甲8-1号,B0FFHCR4LQ
张店区房镇镇卫生院,医院,118.000737,36.846624,-0.3,天乙路66-2号,B02150RPEB
马尚中心卫生院,医院,117.995696,36.819710,-0.3,马尚镇西十路林泽花园南门对过,B0JG9H6AXE
四季青医院西院区,医院,117.972697,36.835747,-0.3,房镇镇房东新村齐盛路天津路路口西北角,B0GU79LNWZ
萌水医院,医院,117.921402,36.727733,-0.3,杨萌路与兴萌路交口东20米,B021503UBI
淄博市中心医院高青院区,医院,117.836181,37.169301,-0.3,青城路11号,B021501FEF
兰雁医院,医院,117.847900,36.810587,-0.3,机场路385号,B02150Q5TO
张店区沣水中心卫生院,医院,118.091631,36.752094,-0.3,汇沣路2号,B021501F92
高新区四宝山卫生院,医院,118.099801,36.821775,-0.3,宝鑫路37号,B02150Q85X
桓台县马桥镇中心卫生院,医院,117.920237,37.038991,-0.3,红新路276号,B0215025KX
中埠镇卫生院,医院,118.187590,36.846438,-0.3,铁鹰路37号,B021503T2J
张店区第二人民医院24小时急救,医院,118.026441,36.803357,-0.3,新村西路190附近,B0FFKJPCHE
沂源县第二人民医院,医院,118.360611,36.019273,-0.3,文山路,B0FFHGQEI0
淄川区医院西院区,医院,117.915460,36.653396,-0.3,松龄西路与凤凰山路交叉口东北300米,B0FFIS53RX
磁村卫生院,医院,117.847857,36.619271,-0.3,磁村镇,B0FFKFRYUL
淄博少海医院,医院,118.090097,36.958442,-0.3,中心大街1401号,B0215048LY
湖田医院-湖田卫生院,医院,118.117230,36.790515,-0.3,湖光路7号,B0G3FAG824
淄博市中心医院,医院,117.836044,37.168746,-0.3,青城路与蒲台路交叉口西140米,B0FFKPNVVY
淄川区西河中心卫生院,医院,117.942726,36.502452,-0.3,西河河北村,B021503WUF
桓台后金眼科医院,医院,117.922909,37.052407,-0.3,238省道,B021503R7H
鸿巢老年病医院,医院,118.068017,36.919936,-0.3,果里镇黄山路鸿嘉星城南侧,B0G02S2ITZ
高青友好医院,医院,117.860551,37.173783,-0.3,潍高路277号,B0FFG98WYB
索镇卫生院,医院,118.116856,36.958313,-0.3,镇府街1128号,B021503YLJ
沂源县人民医院大张庄分院,医院,118.028335,36.036198,-0.3,宏大路,B021503YDM
张店区科苑街道科技苑社区卫生服务站,医院,118.051755,36.833748,-0.3,环翠路4号,B021504252
四砂医院,医院,118.028215,36.730963,-0.3,南定车站街69号,B021503YMA
德润医院,医院,117.884854,36.555597,-0.3,北外环路1号,B0FFFX4MIK
高青县花沟中心卫生院,医院,117.758184,37.137115,-0.3,田兴路,B021503QWQ
淄博市中西医结合医院体检,医院,118.058868,36.793560,-0.3,金晶大道8号淄博市中西医结合医院,B0I2MAARHR
淄博市中心医院门诊部,医院,118.053567,36.806576,-0.3,共青团西路54号淄博市中心医院内,B0FFF2LUG7
果里医院,医院,118.078742,36.903025,-0.3,果周路808号,B0FFGRFERG
淄川区城南卫生院,医院,117.954695,36.623403,-0.3,山川路181号,B0J3CMAICM
山东省生建八三医院,医院,117.711653,36.664447,-0.3,王村,B02150RNKS
淄博市中医医院(院总部)(装修中),医院,117.934625,36.802749,-0.3,新建东路1166号,B0JK1CHG54
机关医院,医院,118.020029,36.834210,-0.3,世纪花园幼儿园南门北270米,B0FFH1CLTA
高青县第二人民医院,医院,117.797966,37.178006,-0.3,广青路729号,B0I69Z6AX2
齐陵医院,医院,118.377483,36.799623,-0.3,齐陵镇,B021504CR7
大染坊口腔,医院,117.847775,36.791389,-0.3,东门路6号,B02150R4T1
化建医院(北院区),医院,118.230834,36.738786,-0.3,建设北路,B0FFHNTXKB
明医堂,医院,118.037682,36.797434,-0.3,南西五路与和平路交叉口东北60米,B0FFKKSS13
淄博中大医院,医院,118.038074,36.801364,-0.3,新村西路107号(市博物馆南门对面),B0FFFZH611
淄博市第一医院北院区,医院,117.877401,36.532754,-0.3,白塔镇颜北路255号,B0FFG0ZHW4
北郊镇中心卫生院,医院,117.911802,36.825960,-0.3,姜萌路2017号,B02150Q83Q
名鲁中医院,医院,118.059810,36.797687,-0.3,金晶大道42号,B0FFLB1NVI
沁园社区卫生服务站,医院,118.045357,36.814004,-0.3,人民路25号宏程名座B座一层东一号,B0215048UM
淄博市市级机关医院(人民西路),医院,118.047769,36.814238,-0.3,人民西路24号甲3号,B021502XMG
淄博市第二康复医院,医院,118.072390,36.817711,-0.3,华光路10号甲27号,B0FFH1VUCC
岳庄医院,医院,117.950743,36.448765,-0.3,崮山镇岳西村,B021501FEB
张店区凯瑞园社区卫生服务中心,医院,118.020489,36.813996,-0.3,人民西路167号,B021504ADR
淄博大众医院,医院,118.041980,36.798201,-0.3,南西四路12号,B0GR9CPW7F
沂源县三岔卫生院,医院,118.263240,36.325870,-0.3,兴民街4号,B0I2GSB9IT
临淄区凤凰中心卫生院,医院,118.231515,36.882201,-0.3,凤凰镇路山路12号,B02150Q6R5
青年路街道办事处社区卫生服务中心,医院,117.849430,36.806324,-0.3,青年路38号,B02150Q5TD
博山区博山镇中心卫生院,医院,117.963515,36.382327,-0.3,北博山镇北博山村,B021503XKF
博山区夏家庄卫生院,医院,117.870937,36.513583,-0.3,珑山路26号,B0FFLF75D6
沂源县人民医院悦庄分院,医院,118.265979,36.206135,-0.3,中心街120号,B0HGUDEKM1
临淄区金岭卫生院,医院,118.191787,36.798419,-0.3,金岭南路与金烯路交叉口西北440米,B021503TWN
朱台中心卫生院,医院,118.257061,36.940575,-0.3,朱台路10号,B021504EJI
起凤中心卫生院,医院,118.117231,37.056594,-0.3,起凤镇西三村起马路300号,B021503RCG
寨里中心卫生院,医院,118.044576,36.649040,-0.3,黉阳路(寨里中心医院),B021503W5E
桓台县索镇耿桥卫生院,医院,118.124189,36.993142,-0.3,宫荆路989号,B02150R469
鸿泰医院,医院,117.836937,36.797978,-0.3,南下河街1号,B0215049B0
淄博高新技术产业开发区卫固中心卫生院,医院,118.144756,36.867151,-0.3,四宝山街道办事处卫固村(府前路张店农商银行对面),B0FFKHVZ72
淄博市中心医院门诊部,医院,117.977766,36.809908,-0.3,上海路与共青团西路交叉口西南260米,B0FFL16TUO
博山区山头街道卫生院,医院,117.862367,36.476361,-0.3,新博南路12号,B0FFMF91WZ
黑旺卫生院,医院,118.147953,36.626963,-0.3,寨里镇,B02150Q7IA
时代名都社区卫生服务站预防接种门诊,医院,118.043376,36.839099,-0.3,张桓路77号天行健大厦F1层,B0G0CPT061
淄川区双沟卫生院,医院,117.999376,36.695094,-0.3,双罗路与232省道交叉口东300米,B0GROL6I8S
龙泉镇卫生院,医院,117.975840,36.575459,-0.3,龙泉路391号,B021501E99
淄博益宁医院,医院,118.077476,36.816863,-0.3,华光路6号,B0JBP95IBY
博山经济开发区卫生院,医院,117.846082,36.522515,-0.3,柳域路311号,B02150QJQD
临淄区齐都中心卫生院,医院,118.350312,36.854112,-0.3,齐都路140号,B02150QZUQ
桓台济民医院,医院,118.096603,36.958596,-0.3,中心大街107号,B0FFFW39BR
淄博诺锋医院(骨科医院),医院,118.035342,36.801729,-0.3,新村西路111号甲1号,B0KG175RPM
周村区南郊镇中心卫生院,医院,117.915221,36.777426,-0.3,高塘村,B02150RPD4
博山区八陡镇卫生院,医院,117.915515,36.455647,-0.3,八陡西园68,B021501E9E
桓台县马桥镇陈庄卫生院,医院,117.922181,37.009725,-0.3,耿焦路与高淄路交叉口东160米,B0FFLQ6LL6
淄博市第一医院总院门诊部,医院,117.862580,36.489849,-0.3,龙泉路淄博市第一医院,B02150S01K
博山区白塔镇卫生院,医院,117.879934,36.550481,-0.3,颜北路316号,B021501FE2
淄博张店圣诺医院,医院,118.042855,36.813897,-0.3,人民西路29号,B0FFIRD9C1
淄博市淄川区淄河镇卫生院,医院,118.085237,36.483345,-0.3,淄河村,B021501EA0
临淄区金山中心卫生院,医院,118.171296,36.706079,-0.3,张边路,B0FFJBBE7M
鲁村中心卫生院,医院,118.048379,36.195733,-0.3,阳光路75号,B021503XPS
淄博博山鲁中中医院,医院,117.846959,36.533807,-0.3,天岭路6号,B0FFKUX1WX
淄博一四八医院门诊部,医院,117.852900,36.793864,-0.3,站北路与马路街交叉口西南50米,B0FFK5D708
淄川区昆仑中心卫生院,医院,117.917455,36.584912,-0.3,昆仑镇昆仑路90号,B021503VYL
石马镇卫生院,医院,117.895512,36.400100,-0.3,石马镇桥东村,B021503XK0
春之光医院,医院,118.073479,36.806474,-0.3,东三路35号,B02150275U
北大医疗鲁中医院康平分院,医院,118.282262,36.806845,-0.3,牛山路康平街5号,B021504F2K
张店区中医院康复楼,医院,118.052783,36.800109,-0.3,新村西路28号张店区中医院,B0FFI9JU8M
卫固医院,医院,118.144778,36.867143,-0.3,卫北路与卫侯路交叉口西南280米,B021503SZ9
高青县高城中心卫生院,医院,117.954429,37.104193,-0.3,李中路北侧,B02150Q5FM
淄博光正公司医院,医院,117.947288,36.605900,-0.3,山川路507号,B02150S1WG
桓台县唐山镇邢家卫生院,医院,118.063625,37.005697,-0.3,耿焦路与唐华路交叉口西180米,B0FFH0OUB0
荣德医院,医院,118.102162,36.848838,-0.3,民祥路160号,B0FFLHY4U5
北大医疗鲁中医院体检,医院,118.312396,36.818181,-0.3,太公路65号北大医疗鲁中医院,B0JRPOXPMJ
牵电医院,医院,118.077809,36.802433,-0.3,共青团东路34号,B02150R1D1
张店区肌因体育健康服务部,医院,118.008977,36.840866,-0.3,万科翡翠书院8号楼501室,B0JGHRU2H3
周村区第三医院,医院,117.911525,36.825789,-0.3,姜萌路2017号,B0G0X70ZV9
淄博市博山区第二人民医院,医院,118.052569,36.428533,-0.3,源泉镇源泉东村,B0FFMFPARY
淄博长城医院,医院,118.030906,36.797646,-0.3,和平路与南西六路交叉口,B0KD5707QI
世博高新医院营养中心,医院,118.105384,36.829265,-0.3,中润大道东首388号世博高新医院院内,B0FFJEESA6
体育场街道社区卫生服务中心,医院,118.075983,36.814805,-0.3,北东三路32号,B02150RNHK
张店区人民医院,医院,118.072384,36.817652,-0.3,淄博市第二康复医院西南门旁,B0FFKEWN4Z
唐山医院,医院,118.046553,36.958095,-0.3,寿济路15588号,B02150R3JB
黑里寨中心卫生院,医院,117.668376,37.108143,-0.3,镇中路85号,B0H1PZQ7WM
淄川仁和医院,医院,117.764695,36.652712,-0.3,岭子镇朱家路口东200米,B021503V2L
张店区中医院肛肠楼,医院,118.052541,36.800414,-0.3,新村西路28号张店区中医院,B0FFHI722J
南博山卫生院,医院,117.959816,36.350531,-0.3,南博山镇南西村21号,B0FFKFH209
淄博创大医院,医院,118.062584,36.672291,-0.3,罗村镇洪五生活区235省道附近,B0FFIN5Q0C
懿仁堂中医院,医院,117.867122,36.803059,-0.3,正阳路2925-1号,B0G1USPQQZ
淄川经济开发区卫生院,医院,117.959040,36.662097,-0.3,大钟街71号,B021503V56
桓台县第二人民医院,医院,117.919950,37.039205,-0.3,红辛路276号,B021502591
高青县青城卫生院,医院,117.689242,37.177882,-0.3,青马路南50米,B0FFHJI8TG
淄博市中心医院西院区培训部,医院,117.973170,36.809077,-0.3,新村西路与香港路交叉口西北180米,B0G3ZLV3BK
东大医院,医院,118.070965,36.799474,-0.3,商场东街22-18号,B0FFFW288T
淄博宝华中医医院,医院,118.024280,36.816938,-0.3,世纪路39号,B02150QKI5
淄博市市立医院淄江分院,医院,118.335498,36.815204,-0.3,晏婴路,B0H3DZP16N
中威中医院,医院,117.949276,36.645747,-0.3,松龄西路167号,B02150QLKB
山东清源集团医院,医院,118.210773,36.801420,-0.3,金岭南路59号附近,B0FFG45JUG
淄博市第四人民医院门诊,医院,118.043333,36.767198,-0.3,南定镇山泉路210号,B02150RNH1
淄川区洪山卫生院,医院,117.994054,36.625748,-0.3,洪山镇,B02150QLFO
皇城医院,医院,118.419210,36.874255,-0.3,皇城路53号,B02150QNSY
淄江社区卫生服务中心,医院,118.335599,36.814881,-0.3,晏婴路淄江花园南五区东100米,B0FFHVPMBG
淄博市中心医院南病房楼,医院,118.052622,36.807439,-0.3,共青团西路54号淄博市中心医院内,B0FFFZNMG9
桓台夏庄昭亮医院,医院,118.119908,37.061022,-0.3,起凤镇夏庄村东2华里与安柴村交界,B0FFHQACFX
周家医院,医院,117.987118,36.910093,-0.3,中心路443号,B0FFJEWCB8
淄川明圣医院,医院,117.948865,36.666524,-0.3,建设路与孝水路交叉路口西北角,B0FFHHUTC7
张庄乡张庄村卫生室,医院,118.066716,36.523630,-0.3,006县道北侧,B021503WXA
桓台县中医院门诊部,医院,118.098523,36.967718,-0.3,兴桓路桓台县中医院,B02150SI6W
齐赛园社区卫生服务站,医院,118.026971,36.813954,-0.3,人民西路61甲12(富尔玛家具城斜对面三楼),B0FFI79AK8
唐山镇卫生院,医院,118.046475,36.958040,-0.3,寿济路15588号,B021503RNL
张店区科苑街道黄金国际社区卫生服务站,医院,118.029946,36.822670,-0.3,华光路116号彩世界皮草广场F1,B0FFIQF56Z
杏园社区卫生服务中心,医院,118.080025,36.785047,-0.3,宝沣路41号,B02150416B
